Monument Name,State/UT,City,Latitude,Longitude,Description,Image Link,3D Model Link
Indian Heritage Monument 186,Kerala,Ancient Site,,,"Historic monument located in Ancient Site, Kerala.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 187,Puducherry,Temple Town,,,"Historic monument located in Temple Town, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 188,Tripura,Historic Town,,,"Historic monument located in Historic Town, Tripura.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 189,Goa,Capital City,,,"Historic monument located in Capital City, Goa.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 190,Rajasthan,Heritage City,,,"Historic monument located in Heritage City, Rajasthan.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 191,Madhya Pradesh,Temple Town,,,"Historic monument located in Temple Town, Madhya Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 192,Odisha,Heritage City,,,"Historic monument located in Heritage City, Odisha.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 193,Sikkim,Heritage City,,,"Historic monument located in Heritage City, Sikkim.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 194,Himachal Pradesh,Capital City,,,"Historic monument located in Capital City, Himachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 195,Kerala,Temple Town,,,"Historic monument located in Temple Town, Kerala.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 196,Kerala,Temple Town,,,"Historic monument located in Temple Town, Kerala.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 197,Manipur,Fort City,,,"Historic monument located in Fort City, Manipur.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 198,Bihar,Ancient Site,,,"Historic monument located in Ancient Site, Bihar.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 199,Sikkim,Ancient Site,,,"Historic monument located in Ancient Site, Sikkim.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 200,Andhra Pradesh,Historic Town,,,"Historic monument located in Historic Town, Andhra Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 201,Andaman and Nicobar Islands,Historic Town,,,"Historic monument located in Historic Town, Andaman and Nicobar Islands.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 202,Puducherry,Historic Town,,,"Historic monument located in Historic Town, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 203,Chandigarh,Heritage City,,,"Historic monument located in Heritage City, Chandigarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 204,Ladakh,Ancient Site,,,"Historic monument located in Ancient Site, Ladakh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 205,Telangana,Capital City,,,"Historic monument located in Capital City, Telangana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 206,Mizoram,Heritage City,,,"Historic monument located in Heritage City, Mizoram.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 207,Delhi,Historic Town,,,"Historic monument located in Historic Town, Delhi.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 208,Mizoram,Heritage City,,,"Historic monument located in Heritage City, Mizoram.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 209,Himachal Pradesh,Ancient Site,,,"Historic monument located in Ancient Site, Himachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 210,Odisha,Capital City,,,"Historic monument located in Capital City, Odisha.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 211,Jammu and Kashmir,Temple Town,,,"Historic monument located in Temple Town, Jammu and Kashmir.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 212,Ladakh,Temple Town,,,"Historic monument located in Temple Town, Ladakh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 213,Mizoram,Historic Town,,,"Historic monument located in Historic Town, Mizoram.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 214,Telangana,Ancient Site,,,"Historic monument located in Ancient Site, Telangana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 215,Goa,Heritage City,,,"Historic monument located in Heritage City, Goa.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 216,Meghalaya,Fort City,,,"Historic monument located in Fort City, Meghalaya.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 217,Himachal Pradesh,Ancient Site,,,"Historic monument located in Ancient Site, Himachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 218,Puducherry,Capital City,,,"Historic monument located in Capital City, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 219,Maharashtra,Historic Town,,,"Historic monument located in Historic Town, Maharashtra.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 220,Nagaland,Fort City,,,"Historic monument located in Fort City, Nagaland.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 221,Chhattisgarh,Temple Town,,,"Historic monument located in Temple Town, Chhattisgarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 222,Bihar,Ancient Site,,,"Historic monument located in Ancient Site, Bihar.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 223,Manipur,Historic Town,,,"Historic monument located in Historic Town, Manipur.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 224,Andhra Pradesh,Temple Town,,,"Historic monument located in Temple Town, Andhra Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 225,Mizoram,Capital City,,,"Historic monument located in Capital City, Mizoram.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 226,Puducherry,Heritage City,,,"Historic monument located in Heritage City, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 227,Telangana,Historic Town,,,"Historic monument located in Historic Town, Telangana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 228,Himachal Pradesh,Capital City,,,"Historic monument located in Capital City, Himachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 229,Nagaland,Ancient Site,,,"Historic monument located in Ancient Site, Nagaland.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 230,Delhi,Temple Town,,,"Historic monument located in Temple Town, Delhi.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 231,Arunachal Pradesh,Historic Town,,,"Historic monument located in Historic Town, Arunachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 232,Ladakh,Heritage City,,,"Historic monument located in Heritage City, Ladakh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 233,Puducherry,Heritage City,,,"Historic monument located in Heritage City, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 234,Meghalaya,Capital City,,,"Historic monument located in Capital City, Meghalaya.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 235,Andhra Pradesh,Capital City,,,"Historic monument located in Capital City, Andhra Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 236,Tripura,Ancient Site,,,"Historic monument located in Ancient Site, Tripura.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 237,Dadra and Nagar Haveli and Daman and Diu,Historic Town,,,"Historic monument located in Historic Town, Dadra and Nagar Haveli and Daman and Diu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 238,Jammu and Kashmir,Historic Town,,,"Historic monument located in Historic Town, Jammu and Kashmir.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 239,Delhi,Heritage City,,,"Historic monument located in Heritage City, Delhi.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 240,Bihar,Temple Town,,,"Historic monument located in Temple Town, Bihar.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 241,Mizoram,Temple Town,,,"Historic monument located in Temple Town, Mizoram.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 242,Puducherry,Historic Town,,,"Historic monument located in Historic Town, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 243,Chandigarh,Ancient Site,,,"Historic monument located in Ancient Site, Chandigarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 244,Puducherry,Heritage City,,,"Historic monument located in Heritage City, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 245,Lakshadweep,Ancient Site,,,"Historic monument located in Ancient Site, Lakshadweep.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 246,Arunachal Pradesh,Capital City,,,"Historic monument located in Capital City, Arunachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 247,Nagaland,Heritage City,,,"Historic monument located in Heritage City, Nagaland.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 248,Goa,Heritage City,,,"Historic monument located in Heritage City, Goa.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 249,Manipur,Ancient Site,,,"Historic monument located in Ancient Site, Manipur.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 250,Maharashtra,Capital City,,,"Historic monument located in Capital City, Maharashtra.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 251,Andaman and Nicobar Islands,Capital City,,,"Historic monument located in Capital City, Andaman and Nicobar Islands.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 252,Dadra and Nagar Haveli and Daman and Diu,Heritage City,,,"Historic monument located in Heritage City, Dadra and Nagar Haveli and Daman and Diu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 253,Meghalaya,Historic Town,,,"Historic monument located in Historic Town, Meghalaya.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 254,Lakshadweep,Heritage City,,,"Historic monument located in Heritage City, Lakshadweep.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 255,Rajasthan,Fort City,,,"Historic monument located in Fort City, Rajasthan.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 256,Dadra and Nagar Haveli and Daman and Diu,Historic Town,,,"Historic monument located in Historic Town, Dadra and Nagar Haveli and Daman and Diu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 257,Punjab,Temple Town,,,"Historic monument located in Temple Town, Punjab.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 258,Arunachal Pradesh,Capital City,,,"Historic monument located in Capital City, Arunachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 259,Haryana,Ancient Site,,,"Historic monument located in Ancient Site, Haryana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 260,Puducherry,Ancient Site,,,"Historic monument located in Ancient Site, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 261,Ladakh,Temple Town,,,"Historic monument located in Temple Town, Ladakh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 262,Chhattisgarh,Ancient Site,,,"Historic monument located in Ancient Site, Chhattisgarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 263,Uttarakhand,Historic Town,,,"Historic monument located in Historic Town, Uttarakhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 264,Punjab,Heritage City,,,"Historic monument located in Heritage City, Punjab.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 265,Gujarat,Fort City,,,"Historic monument located in Fort City, Gujarat.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 266,Madhya Pradesh,Fort City,,,"Historic monument located in Fort City, Madhya Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 267,Lakshadweep,Heritage City,,,"Historic monument located in Heritage City, Lakshadweep.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 268,Andhra Pradesh,Historic Town,,,"Historic monument located in Historic Town, Andhra Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 269,Ladakh,Fort City,,,"Historic monument located in Fort City, Ladakh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 270,Punjab,Historic Town,,,"Historic monument located in Historic Town, Punjab.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 271,Assam,Capital City,,,"Historic monument located in Capital City, Assam.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 272,Puducherry,Capital City,,,"Historic monument located in Capital City, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 273,Goa,Fort City,,,"Historic monument located in Fort City, Goa.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 274,Goa,Heritage City,,,"Historic monument located in Heritage City, Goa.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 275,Sikkim,Historic Town,,,"Historic monument located in Historic Town, Sikkim.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 276,Meghalaya,Historic Town,,,"Historic monument located in Historic Town, Meghalaya.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 277,Lakshadweep,Historic Town,,,"Historic monument located in Historic Town, Lakshadweep.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 278,Punjab,Fort City,,,"Historic monument located in Fort City, Punjab.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 279,Himachal Pradesh,Temple Town,,,"Historic monument located in Temple Town, Himachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 280,Delhi,Heritage City,,,"Historic monument located in Heritage City, Delhi.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 281,Chandigarh,Capital City,,,"Historic monument located in Capital City, Chandigarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 282,Uttar Pradesh,Fort City,,,"Historic monument located in Fort City, Uttar Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 283,Meghalaya,Temple Town,,,"Historic monument located in Temple Town, Meghalaya.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 284,Mizoram,Capital City,,,"Historic monument located in Capital City, Mizoram.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 285,Bihar,Historic Town,,,"Historic monument located in Historic Town, Bihar.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 286,Puducherry,Temple Town,,,"Historic monument located in Temple Town, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 287,Jharkhand,Capital City,,,"Historic monument located in Capital City, Jharkhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 288,Chhattisgarh,Temple Town,,,"Historic monument located in Temple Town, Chhattisgarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 289,Chhattisgarh,Heritage City,,,"Historic monument located in Heritage City, Chhattisgarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 290,Rajasthan,Temple Town,,,"Historic monument located in Temple Town, Rajasthan.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 291,West Bengal,Capital City,,,"Historic monument located in Capital City, West Bengal.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 292,Dadra and Nagar Haveli and Daman and Diu,Temple Town,,,"Historic monument located in Temple Town, Dadra and Nagar Haveli and Daman and Diu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 293,Andhra Pradesh,Historic Town,,,"Historic monument located in Historic Town, Andhra Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 294,Jharkhand,Heritage City,,,"Historic monument located in Heritage City, Jharkhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 295,Haryana,Historic Town,,,"Historic monument located in Historic Town, Haryana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 296,Himachal Pradesh,Capital City,,,"Historic monument located in Capital City, Himachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 297,West Bengal,Historic Town,,,"Historic monument located in Historic Town, West Bengal.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 298,Gujarat,Heritage City,,,"Historic monument located in Heritage City, Gujarat.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 299,Arunachal Pradesh,Fort City,,,"Historic monument located in Fort City, Arunachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 300,Assam,Heritage City,,,"Historic monument located in Heritage City, Assam.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 301,Ladakh,Fort City,,,"Historic monument located in Fort City, Ladakh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 302,Uttar Pradesh,Fort City,,,"Historic monument located in Fort City, Uttar Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 303,Meghalaya,Heritage City,,,"Historic monument located in Heritage City, Meghalaya.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 304,Tamil Nadu,Heritage City,,,"Historic monument located in Heritage City, Tamil Nadu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 305,Puducherry,Ancient Site,,,"Historic monument located in Ancient Site, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 306,Jharkhand,Ancient Site,,,"Historic monument located in Ancient Site, Jharkhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 307,Maharashtra,Temple Town,,,"Historic monument located in Temple Town, Maharashtra.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 308,Uttar Pradesh,Historic Town,,,"Historic monument located in Historic Town, Uttar Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 309,Kerala,Temple Town,,,"Historic monument located in Temple Town, Kerala.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 310,Dadra and Nagar Haveli and Daman and Diu,Heritage City,,,"Historic monument located in Heritage City, Dadra and Nagar Haveli and Daman and Diu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 311,Telangana,Ancient Site,,,"Historic monument located in Ancient Site, Telangana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 312,Maharashtra,Historic Town,,,"Historic monument located in Historic Town, Maharashtra.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 313,Punjab,Historic Town,,,"Historic monument located in Historic Town, Punjab.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 314,Andaman and Nicobar Islands,Fort City,,,"Historic monument located in Fort City, Andaman and Nicobar Islands.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 315,Dadra and Nagar Haveli and Daman and Diu,Ancient Site,,,"Historic monument located in Ancient Site, Dadra and Nagar Haveli and Daman and Diu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 316,Arunachal Pradesh,Heritage City,,,"Historic monument located in Heritage City, Arunachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 317,Telangana,Capital City,,,"Historic monument located in Capital City, Telangana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 318,Gujarat,Temple Town,,,"Historic monument located in Temple Town, Gujarat.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 319,Sikkim,Temple Town,,,"Historic monument located in Temple Town, Sikkim.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 320,Odisha,Ancient Site,,,"Historic monument located in Ancient Site, Odisha.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 321,Dadra and Nagar Haveli and Daman and Diu,Historic Town,,,"Historic monument located in Historic Town, Dadra and Nagar Haveli and Daman and Diu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 322,Uttarakhand,Ancient Site,,,"Historic monument located in Ancient Site, Uttarakhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 323,Mizoram,Historic Town,,,"Historic monument located in Historic Town, Mizoram.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 324,Mizoram,Ancient Site,,,"Historic monument located in Ancient Site, Mizoram.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 325,Maharashtra,Ancient Site,,,"Historic monument located in Ancient Site, Maharashtra.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 326,Uttarakhand,Heritage City,,,"Historic monument located in Heritage City, Uttarakhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 327,Rajasthan,Heritage City,,,"Historic monument located in Heritage City, Rajasthan.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 328,Ladakh,Temple Town,,,"Historic monument located in Temple Town, Ladakh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 329,Tamil Nadu,Historic Town,,,"Historic monument located in Historic Town, Tamil Nadu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 330,Andaman and Nicobar Islands,Temple Town,,,"Historic monument located in Temple Town, Andaman and Nicobar Islands.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 331,Manipur,Temple Town,,,"Historic monument located in Temple Town, Manipur.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 332,Delhi,Fort City,,,"Historic monument located in Fort City, Delhi.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 333,Jharkhand,Fort City,,,"Historic monument located in Fort City, Jharkhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 334,Delhi,Fort City,,,"Historic monument located in Fort City, Delhi.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 335,Himachal Pradesh,Historic Town,,,"Historic monument located in Historic Town, Himachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 336,Telangana,Historic Town,,,"Historic monument located in Historic Town, Telangana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 337,Karnataka,Heritage City,,,"Historic monument located in Heritage City, Karnataka.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 338,Gujarat,Heritage City,,,"Historic monument located in Heritage City, Gujarat.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 339,Maharashtra,Ancient Site,,,"Historic monument located in Ancient Site, Maharashtra.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 340,Ladakh,Temple Town,,,"Historic monument located in Temple Town, Ladakh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 341,Lakshadweep,Temple Town,,,"Historic monument located in Temple Town, Lakshadweep.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 342,Kerala,Capital City,,,"Historic monument located in Capital City, Kerala.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 343,Maharashtra,Capital City,,,"Historic monument located in Capital City, Maharashtra.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 344,Sikkim,Fort City,,,"Historic monument located in Fort City, Sikkim.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 345,Chhattisgarh,Temple Town,,,"Historic monument located in Temple Town, Chhattisgarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 346,Maharashtra,Temple Town,,,"Historic monument located in Temple Town, Maharashtra.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 347,Delhi,Heritage City,,,"Historic monument located in Heritage City, Delhi.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 348,Bihar,Ancient Site,,,"Historic monument located in Ancient Site, Bihar.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 349,Meghalaya,Temple Town,,,"Historic monument located in Temple Town, Meghalaya.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 350,Punjab,Ancient Site,,,"Historic monument located in Ancient Site, Punjab.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 351,Puducherry,Historic Town,,,"Historic monument located in Historic Town, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 352,Tripura,Capital City,,,"Historic monument located in Capital City, Tripura.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 353,Karnataka,Fort City,,,"Historic monument located in Fort City, Karnataka.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 354,Lakshadweep,Temple Town,,,"Historic monument located in Temple Town, Lakshadweep.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 355,Odisha,Temple Town,,,"Historic monument located in Temple Town, Odisha.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 356,Andaman and Nicobar Islands,Capital City,,,"Historic monument located in Capital City, Andaman and Nicobar Islands.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 357,Puducherry,Temple Town,,,"Historic monument located in Temple Town, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 358,Kerala,Ancient Site,,,"Historic monument located in Ancient Site, Kerala.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 359,Goa,Ancient Site,,,"Historic monument located in Ancient Site, Goa.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 360,Uttarakhand,Fort City,,,"Historic monument located in Fort City, Uttarakhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 361,Tamil Nadu,Temple Town,,,"Historic monument located in Temple Town, Tamil Nadu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 362,Uttar Pradesh,Heritage City,,,"Historic monument located in Heritage City, Uttar Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 363,Uttar Pradesh,Ancient Site,,,"Historic monument located in Ancient Site, Uttar Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 364,Gujarat,Heritage City,,,"Historic monument located in Heritage City, Gujarat.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 365,Manipur,Temple Town,,,"Historic monument located in Temple Town, Manipur.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 366,Goa,Historic Town,,,"Historic monument located in Historic Town, Goa.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 367,Karnataka,Historic Town,,,"Historic monument located in Historic Town, Karnataka.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 368,Jammu and Kashmir,Capital City,,,"Historic monument located in Capital City, Jammu and Kashmir.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 369,Manipur,Ancient Site,,,"Historic monument located in Ancient Site, Manipur.",https://upload.wikimedia.org/,https://sketchfab.com/
